"Record ID","Nombre del negocio","Tipo de mercado","Consumo mensual","Propietario del negocio","Autopista","Etapa del negocio","Fecha de cierre","Subautopista"
"60038353566","Venta Directa - Expendio de carne jj","Regulado","1425.5","Hector Steffan Camargo Rua","Especiales","Documentos firmados (Sales MR)","2026-05-09 11:59",""
"59389108515","PUNTO AMARELO S.A.S.","Regulado","4480","Sebastian Mazorra Gomez","Inbound","Documentos firmados (Sales MR)","2026-05-09 10:39","Bia Network"
"60110809656","Venta D2D - Distribuidora de pescado Herg","Regulado","1523","Hector Steffan Camargo Rua","Especiales","Fronteras cargadas (Sales MR)","2026-05-08 18:13","D2D"
"57821889122","SERVERS & SOFTWARE S.A.S.","Regulado","2819.5","Andrés Toro García","Inbound","Documentos firmados (Sales MR)","2026-05-08 16:22","Referrals"
"58645880622","LABORATORIOS M Y N SAS","Regulado","4962.5","Andrés Toro García","Inbound","Fronteras cargadas (Sales MR)","2026-05-08 14:17","Performance"
"60058031363","Venta D2D - ESTADERO LA INA #2","Regulado","8634","Hector Steffan Camargo Rua","Especiales","Fronteras cargadas (Sales MR)","2026-05-07 09:27","D2D"
"56549270283","Upselling ELMER SCHNEIDER CASA ANDINA S.A.S. - CE ","Regulado","2269","Andrea Pemberty","Outbound","Fronteras cargadas (Sales MR)","2026-05-06 11:10","Comunidades energéticas"
"60035054480","Venta Directa - Frutas y verduras San Jose","Regulado","3410.5","Hector Steffan Camargo Rua","Especiales","Documentos firmados (Sales MR)","2026-05-05 18:41",""
"60035537237","La vallenata ","Regulado","2515","Hector Steffan Camargo Rua","Especiales","Documentos firmados (Sales MR)","2026-05-05 13:26",""
"56660726868","ANDINO GRUPO EMPRESARIAL S.A.S.","Regulado","4510","Alejandro Sánchez Jiménez","Inbound","Fronteras cargadas (Sales MR)","2026-05-05 10:09","Performance"
